iter	Passed	Remaining
0	1	180
1	3	158
2	4	149
3	5	136
4	7	133
5	8	129
6	9	127
7	10	125
8	12	123
9	13	121
10	14	121
11	16	119
12	17	116
13	18	114
14	19	111
15	21	110
16	22	108
17	23	106
18	24	105
19	25	103
20	27	101
21	28	99
22	29	98
23	30	96
24	31	95
25	32	93
26	34	92
27	35	90
28	36	89
29	37	88
30	38	86
31	40	85
32	41	83
33	42	82
34	43	81
35	45	80
36	46	78
37	47	77
38	48	76
39	49	74
40	51	73
41	51	71
42	52	70
43	54	69
44	55	67
45	56	66
46	58	65
47	59	64
48	60	62
49	61	61
50	62	60
51	64	59
52	65	58
53	66	56
54	67	55
55	68	54
56	70	52
57	71	51
58	72	50
59	73	49
60	75	48
61	76	46
62	78	45
63	79	44
64	80	43
65	81	42
66	83	40
67	84	39
68	85	38
69	86	37
70	87	35
71	89	34
72	90	33
73	91	32
74	92	30
75	94	29
76	95	28
77	96	27
78	97	25
79	98	24
80	99	23
81	101	22
82	102	20
83	103	19
84	104	18
85	106	17
86	107	16
87	108	14
88	109	13
89	111	12
90	112	11
91	113	9
92	114	8
93	115	7
94	116	6
95	118	4
96	119	3
97	121	2
98	122	1
99	123	0
