iter	Passed	Remaining
0	116	116238
1	119	59619
2	121	40360
3	123	30681
4	125	25033
5	128	21258
6	130	18481
7	132	16376
8	133	14719
9	135	13424
10	138	12463
11	141	11669
12	143	10930
13	146	10346
14	149	9822
15	154	9507
16	156	9058
17	158	8654
18	161	8315
19	162	7986
20	165	7728
21	167	7450
22	169	7219
23	171	6988
24	173	6766
25	175	6562
26	177	6389
27	179	6236
28	181	6088
29	183	5935
30	185	5786
31	186	5648
32	188	5511
33	189	5393
34	191	5287
35	193	5171
36	194	5070
37	196	4964
38	197	4861
39	198	4763
40	199	4670
41	200	4580
42	202	4509
43	204	4440
44	205	4366
45	207	4301
46	208	4231
47	209	4163
48	211	4096
49	212	4033
50	213	3971
51	214	3911
52	216	3862
53	218	3820
54	220	3781
55	221	3736
56	223	3692
57	224	3650
58	226	3610
59	227	3567
60	230	3544
61	232	3515
62	234	3480
63	235	3442
64	237	3409
65	238	3376
66	240	3342
67	241	3313
68	245	3308
69	246	3277
70	248	3246
71	249	3217
72	251	3191
73	252	3160
74	253	3129
75	255	3102
76	256	3077
77	258	3057
78	260	3035
79	261	3012
80	263	2991
81	264	2966
82	265	2935
83	267	2912
84	268	2888
85	269	2865
86	271	2848
87	273	2829
88	274	2808
89	275	2789
90	277	2771
91	278	2750
92	279	2728
93	280	2708
94	282	2688
95	283	2672
96	285	2659
97	287	2645
98	288	2626
99	290	2612
100	291	2594
101	292	2576
102	293	2559
103	295	2541
104	296	2524
105	297	2509
106	299	2500
107	301	2487
108	302	2474
109	304	2461
110	305	2448
111	306	2433
112	308	2419
113	309	2404
114	310	2390
115	312	2383
116	314	2370
117	315	2360
118	317	2348
119	318	2334
120	319	2321
121	320	2306
122	321	2293
123	322	2281
124	324	2269
125	326	2262
126	328	2254
127	329	2246
128	331	2237
129	332	2228
130	334	2219
131	335	2208
132	336	2196
133	338	2185
134	340	2180
135	342	2173
136	343	2163
137	344	2152
138	346	2145
139	347	2134
140	348	2125
141	349	2112
142	350	2102
143	352	2093
144	353	2085
145	355	2080
146	357	2074
147	359	2067
148	360	2060
149	362	2055
150	364	2048
151	365	2041
152	367	2035
153	369	2030
154	371	2024
155	373	2020
156	375	2014
157	376	2008
158	378	2002
159	380	1997
160	383	2000
161	386	2000
162	388	1993
163	389	1986
164	391	1978
165	392	1972
166	394	1965
167	395	1960
168	397	1956
169	400	1953
170	401	1946
171	402	1939
172	404	1933
173	405	1926
174	407	1919
175	409	1917
176	412	1917
177	414	1911
178	415	1905
179	417	1899
180	418	1893
181	419	1886
182	421	1880
183	423	1876
184	425	1875
185	427	1870
186	429	1866
187	431	1862
188	433	1859
189	434	1854
190	436	1847
191	438	1845
192	440	1841
193	442	1836
194	443	1832
195	445	1827
196	446	1821
197	448	1815
198	449	1810
199	452	1808
200	453	1804
201	455	1799
202	457	1795
203	458	1790
204	460	1785
205	461	1779
206	463	1774
207	464	1768
208	466	1766
209	468	1763
210	470	1758
211	471	1753
212	473	1748
213	474	1742
214	475	1737
215	477	1731
216	478	1727
217	481	1728
218	484	1727
219	486	1723
220	487	1719
221	489	1715
222	491	1711
223	493	1708
224	495	1706
225	497	1705
226	499	1702
227	501	1698
228	503	1695
229	505	1691
230	506	1686
231	509	1687
232	511	1684
233	513	1680
234	515	1676
235	516	1673
236	518	1670
237	520	1666
238	522	1664
239	524	1661
240	526	1657
241	527	1653
242	531	1654
243	532	1651
244	534	1648
245	537	1646
246	539	1644
247	541	1641
248	543	1639
249	545	1635
250	546	1632
251	548	1628
252	551	1629
253	554	1627
254	555	1624
255	557	1620
256	559	1618
257	561	1614
258	563	1612
259	566	1611
260	568	1608
261	569	1605
262	571	1601
263	573	1597
264	574	1593
265	576	1589
266	579	1589
267	581	1587
268	582	1583
269	584	1579
270	585	1576
271	587	1572
272	588	1568
273	590	1564
274	592	1562
275	594	1560
276	596	1557
277	598	1553
278	599	1549
279	601	1545
280	602	1542
281	604	1538
282	607	1539
283	609	1536
284	611	1534
285	613	1531
286	615	1529
287	617	1526
288	619	1523
289	622	1523
290	624	1520
291	626	1517
292	627	1514
293	629	1511
294	631	1508
295	633	1505
296	636	1506
297	638	1504
298	640	1501
299	642	1499
300	644	1496
301	646	1493
302	650	1497
303	653	1495
304	655	1492
305	657	1490
306	658	1487
307	660	1484
308	664	1486
309	666	1483
310	668	1480
311	670	1478
312	672	1476
313	675	1475
314	678	1474
315	680	1472
316	682	1470
317	683	1466
318	685	1464
319	688	1462
320	691	1462
321	694	1462
322	696	1459
323	698	1456
324	700	1454
325	702	1451
326	705	1452
327	707	1449
328	709	1447
329	711	1444
330	713	1441
331	715	1438
332	716	1435
333	719	1435
334	721	1433
335	724	1430
336	726	1429
337	729	1428
338	735	1433
339	737	1431
340	739	1429
341	741	1425
342	742	1422
343	744	1418
344	746	1417
345	749	1416
346	751	1414
347	753	1410
348	754	1407
349	756	1404
350	757	1400
351	759	1397
352	762	1397
353	764	1394
354	765	1391
355	767	1388
356	769	1385
357	770	1382
358	772	1379
359	776	1379
360	778	1378
361	780	1375
362	782	1373
363	784	1370
364	786	1368
365	790	1369
366	794	1370
367	797	1368
368	799	1367
369	801	1364
370	804	1363
371	806	1361
372	808	1358
373	810	1355
374	811	1352
375	813	1350
376	815	1347
377	817	1345
378	819	1343
379	821	1340
380	823	1337
381	825	1335
382	827	1332
383	829	1329
384	831	1328
385	834	1327
386	836	1324
387	838	1323
388	840	1320
389	842	1317
390	843	1314
391	846	1313
392	849	1312
393	851	1309
394	853	1307
395	855	1304
396	856	1301
397	859	1299
398	861	1298
399	863	1295
400	865	1292
401	867	1290
402	868	1287
403	870	1284
404	873	1283
405	875	1281
406	877	1278
407	879	1276
408	881	1273
409	883	1271
410	885	1268
411	887	1267
412	889	1264
413	891	1262
414	893	1259
415	895	1256
416	896	1253
417	898	1251
418	901	1249
419	903	1247
420	904	1244
421	907	1242
422	908	1239
423	910	1237
424	912	1234
425	914	1232
426	916	1230
427	918	1227
428	920	1225
429	922	1222
430	923	1219
431	925	1216
432	927	1214
433	931	1214
434	932	1211
435	934	1209
436	936	1206
437	938	1203
438	939	1201
439	941	1198
440	944	1196
441	946	1194
442	947	1191
